cni,namespace,pod,cpu_mcores,memory_mib
cilium,g5-bench,g5-client-d57c4d46-9kwz7,1,4
cilium,g5-bench,g5-echo-649fbccd57-42f7m,0,8
cilium,g5-bench,g5-echo-649fbccd57-8jvjg,0,9
cilium,g5-bench,g5-echo-649fbccd57-qrlc5,0,8
cilium,kube-system,cilium-envoy-7j8pv,11,23
cilium,kube-system,cilium-envoy-hffqs,11,28
cilium,kube-system,cilium-envoy-plxmg,10,29
cilium,kube-system,cilium-mfqzf,13,218
cilium,kube-system,cilium-operator-9cbc9c444-gkxbm,5,39
cilium,kube-system,cilium-pnm4b,12,242
cilium,kube-system,coredns-7d764666f9-69f69,2,15
cilium,kube-system,etcd-g5-cilium-control-plane,28,61
cilium,kube-system,kube-apiserver-g5-cilium-control-plane,64,328
cilium,kube-system,kube-controller-manager-g5-cilium-control-plane,19,80
cilium,kube-system,kube-proxy-nhvzd,2,24
cilium,kube-system,kube-proxy-s9qgh,3,23
cilium,kube-system,kube-proxy-zmdq8,2,23
cilium,kube-system,kube-scheduler-g5-cilium-control-plane,9,43
cilium,kube-system,metrics-server-5f54fb74d9-rhsk8,3,16
cilium,local-path-storage,local-path-provisioner-84669cbbb8-zdbs4,1,18
