cni,namespace,pod,cpu_mcores,memory_mib
flannel,g5-bench,g5-client-d57c4d46-6q6rl,1,5
flannel,g5-bench,g5-echo-649fbccd57-7t4wj,0,10
flannel,g5-bench,g5-echo-649fbccd57-d7dmb,0,10
flannel,g5-bench,g5-echo-649fbccd57-dj2fn,0,10
flannel,kube-flannel,kube-flannel-ds-nfcnd,9,14
flannel,kube-flannel,kube-flannel-ds-rtg5x,10,14
flannel,kube-flannel,kube-flannel-ds-sz5ld,11,14
flannel,kube-system,coredns-7d764666f9-4mkfx,2,15
flannel,kube-system,coredns-7d764666f9-dvz95,2,16
flannel,kube-system,etcd-g5-flannel-control-plane,20,50
flannel,kube-system,kube-apiserver-g5-flannel-control-plane,37,260
flannel,kube-system,kube-controller-manager-g5-flannel-control-plane,14,76
flannel,kube-system,kube-proxy-5cqdg,1,23
flannel,kube-system,kube-proxy-9jpgg,1,23
flannel,kube-system,kube-proxy-lmns2,1,14
flannel,kube-system,kube-scheduler-g5-flannel-control-plane,10,43
flannel,kube-system,metrics-server-5f54fb74d9-lmwc6,4,23
flannel,local-path-storage,local-path-provisioner-84669cbbb8-rv5t2,1,8
